c,app,es,odo,fuel
n,3.9383447,904.5033,4.5185547,0.5701101
n,5.045482,1117.9138,1.8847656,0.19486403
n,5.403867,1003.47876,2.6015625,0.35631704
n,2.960262,1088.4401,7.078125,1.2550101
n,3.8789976,985.8944,3.1738281,0.3991108
n,4.533327,975.4929,5.489258,0.778751
n,4.3518524,928.5272,4.3515625,0.523455
n,10.472892,1428.4093,10.896798,1.292778
h,11.925204,1615.3209,13.108894,0.91692
h,9.354964,1202.6877,10.413598,1.583803
h,19.4723,1512.4579,18.26606,1.340573
h,12.490597,1383.455,16.657356,1.922898
h,12.77246,1410.5569,9.314417,1.005847
h,8.113819,1282.3484,11.277426,1.181543
h,10.437834,1272.7711,12.687442,1.442074
h,10.530538,1336.6519,10.028624,1.356578
h,13.837666,1478.6791,8.826142,1.151
h,10.748503,1234.1034,11.511636,1.457986
h,12.084255,1327.1073,19.464516,1.993038
h,23.071833,1758.8628,8.329048,0.6822362
h,11.328867,1374.2671,10.297021,0.95197904
h,8.695813,1189.8119,5.8987403,0.85780895
h,8.897431,1404.5332,17.804377,1.3641651
h,14.71631,1505.14,9.948472,1.0387629
h,8.599606,1273.7501,8.271345,0.97232
h,14.729876,1514.017,23.926868,1.80046
h,5.5107756,1086.8301,10.146471,1.80212
